# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL1	ABL1	NM_007313.2	protein_coding	30	3	21	0	0	0	0	0	0	0	0	0	19	0	0	5	0	0	0	0	0	30	0	0
AKT1	AKT1	NM_001014431.1	protein_coding	28	2	5	0	0	0	0	0	0	0	0	1	5	0	0	2	1	0	1	0	0	27	0	0
ALK	ALK	NM_004304.4	protein_coding	74	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	74	0	0
APC	APC	NM_000038.5	protein_coding	174	3	17	0	0	0	0	0	0	0	85	0	12	0	43	5	0	0	0	46	0	0	3	0
ATM	ATM	NM_000051.3	protein_coding	2	2	21	1	1	0	0	0	0	0	1	0	21	0	0	0	0	0	0	1	0	0	2	0
BRAF	BRAF	NM_004333.4	protein_coding	478	22	72	0	0	1	2	2	2	0	0	0	65	0	5	18	0	0	1	1	0	472	5	0
CDH1	CDH1	NM_004360.4	protein_coding	5	0	2	0	0	0	0	0	0	0	3	1	2	0	0	0	1	0	0	1	0	0	0	0
CDKN2A	CDKN2A	NM_001195132.1	protein_coding	29	28	63	0	0	1	0	0	0	0	12	5	62	0	0	18	4	0	3	13	0	0	9	0
CDKN2A-AS1	CDKN2A-AS1	NR_024274.1		0	0	0	102	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001242891.1	protein_coding	0	0	0	34	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF1R	CSF1R	NM_001288705.1	protein_coding	5	0	5	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	2	0	0
CTNNB1	CTNNB1	NM_001098209.1	protein_coding	2	4	66	0	0	2	0	3	0	0	1	0	61	0	0	0	0	0	0	1	0	0	4	0
DEAR	DEAR	NR_104273.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DERL3	DERL3	NM_001135751.1	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	EGFR	NM_005228.3	protein_coding	2404	62	121	0	0	8	5	15	3	0	0	0	88	0	0	64	0	0	3	1	0	2403	5	0
EGFR-AS1	EGFR-AS1	NR_047551.1		0	0	0	89	0	0	0	0	0	41	0	0	0	31	0	0	0	0	0	0	0	0	0	17
